연번,동물이름,횟수
1,코코,299
2,보리,258
3,초코,198
4,콩이,165
5,호두,147
6,토리,137
7,사랑이,136
8,쿠키,131
9,해피,128
10,별이,123
11,두부,121
12,까미,118
13,구름,113
14,마루,111
15,몽이,110
16,똘이,104
17,토토,104
18,하루,102
19,사랑,100
20,뭉치,95
21,별,92
22,초롱이,92
23,아리,88
24,콩,88
25,루이,85
26,레오,83
27,꼬미,77
28,봄,76
29,두리,73
30,망고,69
31,둥이,67
32,만두,66
33,구름이,64
34,마리,64
35,송이,64
36,짱아,64
37,미미,62
38,뚱이,61
39,뽀미,58
40,아지,58
41,모모,56
42,봄이,56
43,라떼,55
44,흰둥이,55
45,감자,54
46,루비,54
47,누리,53
48,장군,53
49,아롱이,51
50,공주,49
51,몽,49
52,예삐,49
53,초롱,49
54,크림,49
55,단비,48
56,뽀삐,48
57,쵸코,48
58,땅콩,47
59,또또,47
60,모찌,47
61,밍키,47
62,하늘,46
63,베리,45
64,몽실이,43
65,가을,42
66,몽실,42
67,미니,42
68,럭키,41
69,복돌이,41
70,후추,41
71,다롱이,40
72,체리,40
73,솜이,39
74,우유,39
75,나나,38
76,밤비,38
77,쪼꼬,38
78,똘똘이,37
79,루키,37
80,모카,37
81,짱구,37
82,탄,37
83,꼬맹이,36
84,복실이,36
85,순이,35
86,여름,35
87,조이,34
88,하늘이,34
89,행복,34
90,겨울이,33
91,로이,33
92,메리,33
93,방울이,33
94,애기,33
95,앵두,33
96,이쁜이,32
97,구찌,31
98,리치,31
99,미키,31
100,하나,31
101,달이,30
102,또리,30
103,연두,30
104,제니,30
105,테리,30
106,하니,30
107,제리,29
108,쫑,29
109,호야,29
110,요미,28
111,토르,28
112,겨울,27
113,단추,27
114,밀크,27
115,써니,27
116,밤이,26
117,우리,26
118,율무,26
119,콜라,26
120,폴,26
121,희망,26
122,나리,25
123,다롱,25
124,복순이,25
125,설,25
126,설이,25
127,아롱,25
128,양이,25
129,자몽,25
130,쫑이,25
131,행복이,25
132,달,24
133,덕구,24
134,봉구,24
135,솜,24
136,순돌이,24
137,꼬마,23
138,딸기,23
139,뿌꾸,23
140,지니,23
141,탄이,23
142,삐삐,22
143,슈슈,22
144,시루,22
145,웅이,22
146,치즈,22
147,꾸꾸,21
148,달콩,21
149,담비,21
150,도도,21
151,루루,21
152,바다,21
153,밤,21
154,복순,21
155,뽀뽀,21
156,우디,21
157,우주,21
158,자두,21
159,나무,20
160,또치,20
161,루피,20
162,미르,20
163,미소,20
164,방울,20
165,베베,20
166,봉봉,20
167,유키,20
168,재롱이,20
169,짱이,20
170,포도,20
171,해리,20
172,기쁨,19
173,깜지,19
174,대박,19
175,바니,19
176,복실,19
177,소금,19
178,동이,18
179,라온,18
180,레옹,18
181,레이,18
182,루시,18
183,뽀,18
184,심바,18
185,유자,18
186,은비,18
187,젤리,18
188,태양,18
189,포미,18
190,깜이,17
191,버디,17
192,아토,17
193,장군이,17
194,진주,17
195,캔디,17
196,토비,17
197,포리,17
198,포비,17
199,포포,17
200,희동,17
201,가을이,16
202,곰돌이,16
203,까망이,16
204,꾸미,16
205,대박이,16
206,뚜뚜,16
207,랑이,16
208,로키,16
209,모리,16
210,보미,16
211,수리,16
212,슈가,16
213,앙꼬,16
214,잔디,16
215,코비,16
216,토니,16
217,푸딩,16
218,강이,15
219,난이,15
220,도담,15
221,두유,15
222,릴리,15
223,맥스,15
224,메이,15
225,민트,15
226,볼트,15
227,산,15
228,아톰,15
229,알콩,15
230,엄지,15
231,유리,15
232,차차,15
233,철수,15
234,행운,15
235,동동,14
236,땡이,14
237,미정,14
238,벨라,14
239,산이,14
240,샤샤,14
241,설기,14
242,소망,14
243,순돌,14
244,시로,14
245,쭈쭈,14
246,칸쵸,14
247,키키,14
248,토미,14
249,금동이,13
250,까망,13
251,노아,13
252,누룽지,13
253,달래,13
254,딱지,13
255,로또,13
256,로미,13
257,루나,13
258,머루,13
259,뭉이,13
260,밀키,13
261,바비,13
262,반달,13
263,빵이,13
264,아라,13
265,엘리,13
266,연탄,13
267,쫑아,13
268,쭈,13
269,치치,13
270,코난,13
271,콩순이,13
272,태리,13
273,팡이,13
274,곰이,12
275,깜순이,12
276,다온,12
277,먼지,12
278,몽구,12
279,생강,12
280,슈,12
281,여름이,12
282,열무,12
283,이브,12
284,이슬,12
285,재롱,12
286,제이,12
287,준,12
288,짱,12
289,쭈니,12
290,콩콩이,12
291,테디,12
292,푸푸,12
293,곰,11
294,기쁨이,11
295,깜순,11
296,꼭지,11
297,둘리,11
298,뚱,11
299,로빈,11
300,리오,11
301,막내,11
302,망치,11
303,밤톨이,11
304,비비,11
305,뽀리,11
306,삼순,11
307,소미,11
