행정구역,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
전국  (0000000000),"2,910,022","4,622,171","5,591,091","6,686,964","7,520,473","8,616,970","7,973,368","4,646,121","2,139,521","382,260","9,025"
서울특별시  (1100000000),"455,648","719,027","1,239,522","1,467,418","1,357,334","1,464,286","1,318,622","845,655","371,689","58,015","1,457"
부산광역시  (2600000000),"166,618","266,138","332,238","388,058","456,410","525,494","551,990","373,190","152,894","21,856",475
대구광역시  (2700000000),"131,987","212,646","248,823","285,394","332,593","409,460","381,795","228,635","101,182","16,543",302
인천광역시  (2800000000),"187,255","276,020","332,664","432,537","472,438","514,812","477,895","241,702","102,375","18,965",563
광주광역시  (2900000000),"84,211","143,130","166,820","173,547","210,330","240,115","195,915","112,022","51,635","8,647",195
대전광역시  (3000000000),"85,548","136,091","185,839","196,022","207,001","242,204","209,204","118,820","51,604","9,149",205
울산광역시  (3100000000),"65,742","108,829","107,742","136,803","167,342","196,401","181,342","88,946","30,169","4,624",101
세종특별자치시  (3600000000),"37,636","54,046","36,284","57,159","75,691","59,961","39,716","20,309","8,324","1,864",34
경기도  (4100000000),"877,674","1,325,139","1,534,525","1,932,298","2,169,232","2,360,316","1,989,893","1,019,142","458,470","82,307","2,102"
강원특별자치도  (5100000000),"79,491","124,906","145,742","158,987","192,531","255,636","281,642","164,441","87,854","15,511",458
충청북도  (4300000000),"91,906","143,271","165,341","194,130","219,687","270,612","272,049","152,140","75,393","14,524",322
충청남도  (4400000000),"124,077","202,636","209,401","252,015","311,075","353,875","342,169","209,658","108,250","24,061",472
전북특별자치도  (5200000000),"85,902","158,552","168,972","172,751","223,943","297,192","293,723","194,981","102,575","21,152",460
전라남도  (4600000000),"93,823","154,474","155,571","170,486","224,951","301,111","321,115","208,254","121,293","23,379",574
경상북도  (4700000000),"125,076","215,020","214,926","251,287","328,730","430,699","464,001","294,115","144,995","28,927",588
경상남도  (4800000000),"174,090","312,422","282,426","341,228","469,541","576,289","552,545","319,495","142,853","26,455",515
제주특별자치도  (5000000000),"43,338","69,824","64,255","76,844","101,644","118,507","99,752","54,616","27,966","6,281",202
